PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1630532,2023-24,00,1610612753,ORL,22.0,46,46,1532.0,359,755,0.475,76,238,0.319,176,206,0.854,52,209,261,185,48,16,91,106,970
1629731,2023-24,00,1610612739,CLE,27.0,44,30,931.0,81,197,0.411,68,171,0.398,15,19,0.789,33,154,187,36,37,16,19,85,245
202696,2023-24,00,1610612741,CHI,33.0,49,47,1683.0,368,773,0.476,56,202,0.277,72,84,0.857,131,389,520,170,36,43,71,124,864
1629216,2023-24,00,1610612747,LAL,27.0,5,0,127.0,12,32,0.375,2,17,0.118,1,2,0.5,2,3,5,15,6,0,2,12,27
1628426,2023-24,00,1610612758,SAC,28.0,35,0,440.0,74,165,0.448,38,100,0.38,10,13,0.769,30,56,86,15,16,7,11,35,196
1630170,2023-24,00,1610612759,SAS,23.0,49,43,1551.0,343,730,0.47,123,332,0.37,123,152,0.809,19,161,180,177,50,13,67,49,932
1629020,2023-24,00,1610612747,LAL,24.0,29,6,581.0,59,114,0.518,8,27,0.296,24,36,0.667,41,97,138,36,36,5,28,43,150
1627832,2023-24,00,1610612745,HOU,29.0,47,47,1727.0,259,633,0.409,135,361,0.374,122,142,0.859,17,159,176,385,52,46,75,105,775
202685,2023-24,00,1610612740,NOP,31.0,54,54,1387.0,293,514,0.57,30,88,0.341,129,162,0.796,141,371,512,126,24,56,75,160,745
1630649,2023-24,00,1610612765,DET,24.0,17,0,190.0,25,52,0.481,17,31,0.548,22,24,0.917,4,27,31,9,4,5,11,28,89
1641816,2023-24,00,1610612743,DEN,23.0,9,0,27.0,1,7,0.143,0,6,0.0,0,0,0.0,0,6,6,1,0,0,2,6,2
1626167,2023-24,00,1610612754,IND,27.0,52,52,1425.0,325,620,0.524,71,211,0.336,173,221,0.783,81,278,359,70,30,91,75,167,894
200782,2023-24,00,1610612755,PHI,38.0,3,3,66.0,2,5,0.4,2,5,0.4,0,0,0.0,1,13,14,0,3,2,2,9,6
200782,2023-24,00,1610612746,LAC,38.0,12,0,173.0,4,14,0.286,3,11,0.273,3,3,1.0,15,14,29,8,6,1,2,26,14
200782,2023-24,00,0,TOT,38.0,15,3,239.0,6,19,0.316,5,16,0.313,3,3,1.0,16,27,43,8,9,3,4,35,20
1631131,2023-24,00,1610612754,IND,24.0,6,0,34.0,8,16,0.5,0,0,0.0,5,6,0.833,6,6,12,2,2,0,0,1,21
1629018,2023-24,00,1610612761,TOR,25.0,49,19,1283.0,209,501,0.417,117,279,0.419,30,45,0.667,12,93,105,71,48,5,35,60,565
1626157,2023-24,00,1610612750,MIN,28.0,53,53,1738.0,423,820,0.516,120,275,0.436,225,257,0.875,75,368,443,155,36,33,150,175,1191
1630167,2023-24,00,1610612754,IND,25.0,55,28,1234.0,229,405,0.565,69,171,0.404,55,73,0.753,58,155,213,87,27,26,48,102,582
1631210,2023-24,00,1610612752,NYK,23.0,4,0,15.0,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,2,0,1,0,0,2
1630214,2023-24,00,1610612763,MEM,25.0,34,13,700.0,87,213,0.408,12,53,0.226,18,43,0.419,56,101,157,57,42,35,29,60,204
1629680,2023-24,00,1610612757,POR,26.0,51,19,1185.0,97,246,0.394,66,191,0.346,16,20,0.8,22,76,98,65,83,39,28,73,276
1630550,2023-24,00,1610612766,CHA,21.0,42,1,574.0,51,139,0.367,19,60,0.317,7,13,0.538,38,70,108,17,8,17,11,43,128
202684,2023-24,00,1610612739,CLE,32.0,36,0,446.0,61,94,0.649,0,1,0.0,13,42,0.31,59,81,140,40,8,11,23,50,135
202691,2023-24,00,1610612744,GSW,34.0,48,48,1470.0,290,694,0.418,155,415,0.373,84,92,0.913,25,142,167,109,28,26,74,87,819
1641709,2023-24,00,1610612765,DET,21.0,53,28,1269.0,190,393,0.483,13,84,0.155,60,94,0.638,114,229,343,99,51,48,70,149,453
1641708,2023-24,00,1610612745,HOU,21.0,34,5,639.0,98,192,0.51,6,38,0.158,44,68,0.647,53,128,181,84,39,14,51,75,246
1630560,2023-24,00,1610612751,BKN,22.0,44,29,1311.0,341,770,0.443,90,245,0.367,175,209,0.837,16,110,126,115,32,12,80,93,947
1628464,2023-24,00,1610612754,IND,31.0,1,0,8.0,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
1628464,2023-24,00,1610612746,LAC,31.0,39,1,663.0,100,185,0.541,16,38,0.421,31,43,0.721,58,85,143,40,18,35,27,92,247
1628464,2023-24,00,0,TOT,31.0,40,1,672.0,101,189,0.534,16,39,0.41,31,43,0.721,58,85,143,40,18,35,27,93,249
1631207,2023-24,00,1610612741,CHI,21.0,34,1,344.0,30,75,0.4,10,42,0.238,16,22,0.727,11,46,57,41,10,8,17,45,86
202066,2023-24,00,1610612761,TOR,37.0,16,0,69.0,8,21,0.381,2,9,0.222,5,6,0.833,5,6,11,6,3,0,5,6,23
1630678,2023-24,00,1610612741,CHI,24.0,18,0,131.0,15,28,0.536,1,7,0.143,1,1,1.0,14,13,27,6,4,2,7,13,32
1628369,2023-24,00,1610612738,BOS,25.0,51,51,1832.0,474,996,0.476,157,431,0.364,286,347,0.824,45,393,438,240,52,31,129,104,1391
1630256,2023-24,00,1610612745,HOU,28.0,50,9,875.0,89,188,0.473,20,67,0.299,20,28,0.714,49,114,163,53,36,9,21,118,218
1631306,2023-24,00,1610612748,MIA,24.0,10,0,50.0,9,23,0.391,5,17,0.294,2,2,1.0,1,2,3,4,1,1,6,2,25
1630591,2023-24,00,1610612753,ORL,22.0,50,50,1344.0,219,492,0.445,103,268,0.384,76,100,0.76,37,129,166,121,70,29,94,141,617
1629622,2023-24,00,1610612739,CLE,27.0,52,52,1681.0,231,563,0.41,126,372,0.339,50,64,0.781,45,214,259,193,47,24,76,133,638
1631124,2023-24,00,1610612743,DEN,21.0,35,0,485.0,74,196,0.378,38,123,0.309,18,25,0.72,4,48,52,40,17,6,17,48,204
1630191,2023-24,00,1610612765,DET,22.0,35,34,1070.0,142,302,0.47,49,131,0.374,53,71,0.746,63,175,238,61,13,27,54,86,386
1630205,2023-24,00,1610612738,BOS,26.0,19,1,122.0,21,45,0.467,3,8,0.375,8,11,0.727,12,19,31,8,6,5,9,14,53
1630205,2023-24,00,1610612763,MEM,26.0,1,0,26.0,5,10,0.5,0,1,0.0,0,0,0.0,1,6,7,0,0,2,2,3,10
1630205,2023-24,00,0,TOT,26.0,20,1,148.0,26,55,0.473,3,9,0.333,8,11,0.727,13,25,38,8,6,7,11,17,63
1630531,2023-24,00,1610612755,PHI,21.0,32,1,377.0,46,118,0.39,8,37,0.216,28,34,0.824,25,33,58,35,25,11,26,49,128
1631110,2023-24,00,1610612759,SAS,20.0,54,53,1592.0,242,547,0.442,51,153,0.333,81,104,0.779,96,232,328,194,39,25,104,125,616
1641733,2023-24,00,1610612766,CHA,19.0,36,0,572.0,88,217,0.406,51,113,0.451,11,13,0.846,16,38,54,45,7,7,31,45,238
1631095,2023-24,00,1610612745,HOU,20.0,48,48,1516.0,237,510,0.465,80,217,0.369,85,105,0.81,95,304,399,69,32,36,60,130,639
1628372,2023-24,00,1610612751,BKN,26.0,37,1,741.0,108,245,0.441,19,69,0.275,32,41,0.78,40,87,127,147,45,10,46,87,267
1631173,2023-24,00,1610612755,PHI,21.0,10,0,65.0,16,39,0.41,12,30,0.4,2,3,0.667,0,2,2,10,7,0,4,4,46
1630188,2023-24,00,1610612754,IND,23.0,38,13,689.0,160,253,0.632,44,91,0.484,45,64,0.703,61,151,212,39,11,25,31,86,409
202397,2023-24,00,1610612766,CHA,35.0,43,5,741.0,66,158,0.418,4,8,0.5,3,4,0.75,11,65,76,145,17,4,47,49,139
1630696,2023-24,00,1610612748,MIA,26.0,9,0,131.0,15,33,0.455,7,17,0.412,2,2,1.0,6,8,14,14,9,3,5,12,39
203935,2023-24,00,1610612763,MEM,29.0,20,20,605.0,102,237,0.43,42,134,0.313,43,56,0.768,6,47,53,86,41,5,62,53,289
1630606,2023-24,00,1610612755,PHI,24.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
1641771,2023-24,00,1610612758,SAC,24.0,5,0,19.0,2,3,0.667,0,1,0.0,0,0,0.0,0,4,4,2,0,1,2,3,4
1630579,2023-24,00,1610612752,NYK,25.0,27,8,270.0,22,30,0.733,0,0,0.0,4,7,0.571,23,40,63,8,2,10,8,25,48
1629014,2023-24,00,1610612757,POR,24.0,30,30,1006.0,241,551,0.437,103,265,0.389,114,125,0.912,15,90,105,158,15,4,76,63,699
1627732,2023-24,00,1610612751,BKN,27.0,12,10,308.0,38,64,0.594,0,0,0.0,6,14,0.429,27,74,101,78,9,8,25,32,82
1627783,2023-24,00,1610612761,TOR,29.0,39,39,1354.0,325,623,0.522,46,145,0.317,169,223,0.758,54,192,246,190,32,10,83,87,865
1627783,2023-24,00,1610612754,IND,29.0,14,14,463.0,124,214,0.579,18,43,0.419,32,52,0.615,28,68,96,65,13,3,25,38,298
1627783,2023-24,00,0,TOT,29.0,53,53,1818.0,449,837,0.536,64,188,0.34,201,275,0.731,82,260,342,255,45,13,108,125,1163
1641767,2023-24,00,1610612754,IND,22.0,32,0,336.0,34,93,0.366,17,62,0.274,12,15,0.8,7,32,39,24,15,1,6,41,97
1631101,2023-24,00,1610612757,POR,20.0,32,25,1059.0,176,434,0.406,60,180,0.333,98,119,0.824,42,118,160,94,28,12,72,88,510
1630549,2023-24,00,1610612751,BKN,22.0,38,1,601.0,113,196,0.577,1,7,0.143,56,90,0.622,105,157,262,54,17,32,37,87,283
1629013,2023-24,00,1610612764,WAS,26.0,36,0,542.0,98,219,0.447,45,122,0.369,31,39,0.795,12,36,48,46,21,8,21,64,272
1629012,2023-24,00,1610612762,UTA,25.0,54,31,1318.0,323,667,0.484,84,215,0.391,218,252,0.865,48,93,141,243,36,10,105,108,948
1641729,2023-24,00,1610612762,UTA,20.0,5,0,14.0,2,7,0.286,1,2,0.5,0,0,0.0,1,3,4,2,0,0,1,1,5
1630578,2023-24,00,1610612745,HOU,21.0,52,52,1688.0,438,809,0.541,28,97,0.289,199,277,0.718,141,336,477,261,59,38,135,169,1103
1631220,2023-24,00,1610612740,NOP,23.0,5,0,52.0,4,13,0.308,1,2,0.5,5,6,0.833,1,6,7,4,2,1,0,4,14
203471,2023-24,00,1610612761,TOR,30.0,51,33,1559.0,247,559,0.442,77,220,0.35,127,149,0.852,22,118,140,313,46,8,83,105,698
203471,2023-24,00,1610612751,BKN,30.0,2,0,59.0,9,23,0.391,5,12,0.417,1,3,0.333,0,8,8,15,0,0,5,5,24
203471,2023-24,00,0,TOT,30.0,53,33,1617.0,256,582,0.44,82,232,0.353,128,152,0.842,22,126,148,328,46,8,88,110,722
1629678,2023-24,00,1610612753,ORL,26.0,12,0,46.0,5,15,0.333,2,9,0.222,0,2,0.0,1,6,7,4,0,0,4,7,12
1631204,2023-24,00,1610612765,DET,23.0,48,0,779.0,140,297,0.471,57,133,0.429,33,38,0.868,7,68,75,143,26,8,46,65,370
1630846,2023-24,00,1610612760,OKC,24.0,12,0,89.0,10,18,0.556,2,6,0.333,9,13,0.692,10,24,34,2,0,6,3,17,31
203967,2023-24,00,1610612744,GSW,29.0,49,9,961.0,164,344,0.477,71,174,0.408,74,86,0.86,64,190,254,121,30,8,60,102,473
1630611,2023-24,00,1610612744,GSW,21.0,12,0,109.0,15,32,0.469,4,13,0.308,14,15,0.933,12,20,32,7,3,2,3,14,48
1641766,2023-24,00,1610612741,CHI,22.0,3,0,11.0,3,3,1.0,0,0,0.0,2,3,0.667,2,4,6,0,0,0,1,0,8
1631257,2023-24,00,1610612745,HOU,25.0,11,0,53.0,8,11,0.727,0,2,0.0,2,2,1.0,2,9,11,2,1,1,0,4,18
1629677,2023-24,00,1610612762,UTA,24.0,25,0,144.0,22,60,0.367,5,23,0.217,17,21,0.81,8,34,42,4,1,3,11,16,66
1627734,2023-24,00,1610612758,SAC,27.0,53,53,1891.0,430,690,0.623,26,61,0.426,182,261,0.697,173,529,702,443,43,29,175,167,1068
1630346,2023-24,00,1610612740,NOP,26.0,14,1,303.0,38,85,0.447,32,68,0.471,13,14,0.929,5,26,31,14,5,1,16,24,121
1626156,2023-24,00,1610612747,LAL,27.0,50,43,1559.0,322,693,0.465,136,325,0.418,99,123,0.805,19,115,134,306,40,26,97,104,879
1641712,2023-24,00,1610612757,POR,19.0,16,0,119.0,15,43,0.349,7,17,0.412,5,8,0.625,7,14,21,11,3,0,6,7,42
1626179,2023-24,00,1610612766,CHA,29.0,30,30,1065.0,252,549,0.459,83,232,0.358,109,129,0.845,17,100,117,198,32,12,65,52,696
1626179,2023-24,00,1610612748,MIA,29.0,10,9,299.0,46,128,0.359,11,47,0.234,23,24,0.958,10,35,45,56,8,2,11,19,126
1626179,2023-24,00,0,TOT,29.0,40,39,1364.0,298,677,0.44,94,279,0.337,132,153,0.863,27,135,162,254,40,14,76,71,822
201565,2023-24,00,1610612763,MEM,35.0,20,7,348.0,67,148,0.453,15,39,0.385,22,24,0.917,7,31,38,68,8,2,25,19,171
1631157,2023-24,00,1610612764,WAS,21.0,10,0,66.0,13,25,0.52,2,3,0.667,13,17,0.765,2,9,11,11,8,3,7,7,41
1631223,2023-24,00,1610612763,MEM,22.0,48,13,1114.0,155,386,0.402,47,156,0.301,46,67,0.687,51,149,200,76,25,11,54,68,403
1630526,2023-24,00,1610612740,NOP,23.0,21,1,210.0,30,58,0.517,8,22,0.364,10,11,0.909,15,34,49,10,7,3,9,15,78
1631115,2023-24,00,1610612748,MIA,23.0,24,7,239.0,32,62,0.516,7,13,0.538,18,24,0.75,19,47,66,27,6,7,14,31,89
1629011,2023-24,00,1610612752,NYK,25.0,21,21,613.0,58,98,0.592,0,0,0.0,14,38,0.368,112,104,216,15,32,27,21,40,130
1629010,2023-24,00,1610612744,GSW,26.0,9,0,30.0,0,9,0.0,0,5,0.0,4,6,0.667,1,2,3,2,0,1,0,1,4
1629130,2023-24,00,1610612748,MIA,29.0,49,18,1338.0,224,492,0.455,135,333,0.405,64,72,0.889,11,108,119,137,30,10,65,112,647
1626196,2023-24,00,1610612748,MIA,30.0,43,6,1103.0,154,347,0.444,66,190,0.347,51,54,0.944,18,103,121,105,24,14,36,76,425
1630208,2023-24,00,1610612766,CHA,26.0,44,31,1135.0,166,242,0.686,0,0,0.0,93,127,0.732,115,235,350,38,13,57,48,118,425
1631197,2023-24,00,1610612765,DET,24.0,6,0,42.0,6,11,0.545,1,4,0.25,2,2,1.0,1,4,5,4,0,2,3,4,15
1629675,2023-24,00,1610612750,MIN,24.0,54,0,1215.0,251,513,0.489,103,249,0.414,58,77,0.753,46,203,249,57,38,41,66,106,663
1630194,2023-24,00,1610612755,PHI,24.0,53,17,915.0,149,274,0.544,10,32,0.313,30,42,0.714,113,167,280,64,39,42,37,121,338
1629629,2023-24,00,1610612747,LAL,24.0,35,26,815.0,83,205,0.405,32,95,0.337,36,46,0.783,19,65,84,47,43,11,30,55,234
1630559,2023-24,00,1610612747,LAL,25.0,55,30,1708.0,297,612,0.485,94,261,0.36,176,204,0.863,38,179,217,297,49,10,114,105,864
1641871,2023-24,00,1610612757,POR,27.0,39,11,679.0,129,267,0.483,54,138,0.391,39,52,0.75,55,94,149,45,20,19,29,98,351
203944,2023-24,00,1610612752,NYK,29.0,46,46,1630.0,395,836,0.472,76,244,0.311,236,302,0.781,99,324,423,229,25,12,159,125,1102
1631311,2023-24,00,1610612744,GSW,23.0,17,0,220.0,28,72,0.389,18,45,0.4,8,12,0.667,13,29,42,19,4,2,12,25,82
1630193,2023-24,00,1610612752,NYK,24.0,30,0,720.0,152,335,0.454,64,162,0.395,82,94,0.872,5,72,77,74,16,3,31,44,450
1630193,2023-24,00,1610612761,TOR,24.0,19,19,606.0,105,263,0.399,51,123,0.415,49,60,0.817,7,66,73,109,13,3,24,34,310
1630193,2023-24,00,0,TOT,24.0,49,19,1326.0,257,598,0.43,115,285,0.404,131,154,0.851,12,138,150,183,29,6,55,78,760
1629674,2023-24,00,1610612738,BOS,24.0,22,0,269.0,45,74,0.608,0,0,0.0,15,20,0.75,42,56,98,11,9,14,8,42,105
1630243,2023-24,00,1610612753,ORL,26.0,12,0,155.0,14,36,0.389,3,16,0.188,9,12,0.75,3,15,18,18,7,5,7,14,40
1641765,2023-24,00,1610612742,DAL,21.0,29,0,249.0,24,69,0.348,8,33,0.242,23,34,0.676,17,42,59,19,3,2,4,17,79
1630202,2023-24,00,1610612738,BOS,26.0,54,0,1106.0,150,354,0.424,89,241,0.369,30,37,0.811,48,122,170,151,23,6,32,68,419
1627752,2023-24,00,1610612747,LAL,29.0,52,47,1561.0,179,409,0.438,104,267,0.39,36,50,0.72,13,142,155,89,46,25,48,114,498
1630563,2023-24,00,1610612746,LAC,21.0,1,0,5.0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,3,0,2
1626181,2023-24,00,1610612746,LAC,30.0,52,0,1306.0,243,494,0.492,106,238,0.445,97,115,0.843,8,125,133,51,27,18,44,94,689
203939,2023-24,00,1610612742,DAL,32.0,46,8,718.0,66,93,0.71,1,2,0.5,59,81,0.728,81,99,180,73,22,18,27,99,192
1630695,2023-24,00,1610612762,UTA,25.0,2,0,7.0,0,1,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0
204001,2023-24,00,1610612738,BOS,28.0,39,39,1165.0,266,503,0.529,71,197,0.36,191,226,0.845,62,210,272,76,24,73,66,112,794
1626171,2023-24,00,1610612749,MIL,29.0,55,1,1318.0,279,567,0.492,64,168,0.381,72,91,0.791,89,291,380,60,41,21,52,135,694
203490,2023-24,00,1610612761,TOR,30.0,15,1,174.0,14,33,0.424,8,23,0.348,3,3,1.0,6,23,29,8,5,5,2,19,39
1629008,2023-24,00,1610612743,DEN,25.0,53,53,1671.0,323,687,0.47,143,364,0.393,53,67,0.791,70,299,369,76,24,39,58,102,842
1641854,2023-24,00,1610612739,CLE,23.0,32,5,469.0,84,165,0.509,7,21,0.333,32,46,0.696,15,64,79,91,17,12,33,30,207
1629673,2023-24,00,1610612764,WAS,24.0,51,51,1485.0,285,715,0.399,96,323,0.297,128,149,0.859,18,104,122,186,55,18,108,162,794
1630197,2023-24,00,1610612760,OKC,22.0,10,0,60.0,4,16,0.25,2,11,0.182,2,4,0.5,2,8,10,5,1,1,3,5,12
1627751,2023-24,00,1610612761,TOR,28.0,43,43,1147.0,208,305,0.682,0,0,0.0,51,93,0.548,118,245,363,101,28,64,70,129,467
1641764,2023-24,00,1610612744,GSW,20.0,45,13,1177.0,171,375,0.456,52,144,0.361,34,53,0.642,67,192,259,167,39,8,57,87,428
203486,2023-24,00,1610612746,LAC,33.0,22,9,389.0,52,78,0.667,0,0,0.0,38,57,0.667,32,96,128,26,7,8,15,32,142
1629618,2023-24,00,1610612743,DEN,24.0,16,0,97.0,12,28,0.429,7,20,0.35,2,2,1.0,1,10,11,12,3,0,6,8,33
1641763,2023-24,00,1610612741,CHI,20.0,30,0,198.0,18,45,0.4,5,23,0.217,6,11,0.545,6,13,19,8,1,6,7,31,47
1630196,2023-24,00,1610612755,PHI,23.0,1,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
