TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612748,Miami,Heat,2023-24,54,29,25,0.537,7,1,0,0,15.0,5,N/A,2141,4631,0.462,673,1806,0.373,1018,1238,0.822,520,1760,2280,1400,978,393,700,172,5973,27
1610612749,Milwaukee,Bucks,2022-23,82,58,24,0.707,1,1,1,4,15.0,5,N/A,3504,7411,0.473,1217,3306,0.368,1364,1837,0.743,914,3074,3988,2115,1481,521,1199,403,9589,8
1610612749,Milwaukee,Bucks,2023-24,55,35,20,0.636,3,2,0,0,15.0,5,N/A,2426,4908,0.494,784,2078,0.377,1087,1412,0.77,513,1908,2421,1473,1102,377,709,286,6723,2
1610612750,Minnesota,Timberwolves,2022-23,82,42,40,0.512,8,2,1,4,15.0,5,N/A,3515,7167,0.49,997,2731,0.365,1467,1942,0.755,749,2686,3435,2145,1768,657,1258,444,9494,13
1610612750,Minnesota,Timberwolves,2023-24,54,38,16,0.704,1,1,0,0,15.0,5,N/A,2229,4549,0.49,680,1730,0.393,1002,1281,0.782,494,1865,2359,1430,1052,405,800,317,6140,15
1610612751,Brooklyn,Nets,2022-23,82,45,37,0.549,6,4,0,4,15.0,5,N/A,3399,6978,0.487,1048,2771,0.378,1449,1811,0.8,674,2648,3322,2093,1730,585,1127,506,9295,20
1610612751,Brooklyn,Nets,2023-24,53,21,32,0.396,11,4,0,0,15.0,5,N/A,2226,4821,0.462,737,1997,0.369,846,1118,0.757,625,1744,2369,1421,1021,365,666,288,6035,22
1610612752,New York,Knicks,2022-23,82,47,35,0.573,5,3,6,5,15.0,5,N/A,3444,7328,0.47,1037,2930,0.354,1589,2087,0.761,1031,2790,3821,1880,1666,527,1065,340,9514,11
1610612752,New York,Knicks,2023-24,54,33,21,0.611,4,2,0,0,15.0,5,N/A,2257,4822,0.468,702,1907,0.368,981,1247,0.787,684,1804,2488,1286,983,394,711,213,6197,13
1610612753,Orlando,Magic,2022-23,82,34,48,0.415,13,4,0,0,15.0,5,N/A,3323,7074,0.47,883,2551,0.346,1607,2050,0.784,833,2713,3546,1906,1652,603,1236,382,9136,26
1610612753,Orlando,Magic,2023-24,54,29,25,0.537,8,2,0,0,15.0,5,N/A,2192,4658,0.471,587,1693,0.347,1056,1399,0.755,598,1725,2323,1343,1133,439,792,280,6027,23
1610612754,Indiana,Pacers,2022-23,82,35,47,0.427,11,4,0,0,15.0,5,N/A,3444,7345,0.469,1112,3030,0.367,1535,1944,0.79,832,2575,3407,2213,1741,631,1224,478,9535,10
1610612754,Indiana,Pacers,2023-24,55,30,25,0.545,6,3,0,0,15.0,5,N/A,2575,5066,0.508,746,1962,0.38,905,1162,0.779,551,1686,2237,1698,1209,426,745,318,6801,1
1610612755,Philadelphia,76ers,2022-23,82,54,28,0.659,3,2,7,4,15.0,5,N/A,3347,6870,0.487,1035,2675,0.387,1719,2058,0.835,715,2641,3356,2063,1675,635,1121,389,9448,14
1610612755,Philadelphia,76ers,2023-24,53,32,21,0.604,5,3,0,0,15.0,5,N/A,2255,4752,0.475,602,1669,0.361,1174,1416,0.829,594,1699,2293,1315,1104,462,631,313,6286,11
1610612756,Phoenix,Suns,2022-23,82,45,37,0.549,4,2,6,5,15.0,5,N/A,3453,7388,0.467,1001,2674,0.374,1412,1781,0.793,971,2657,3628,2235,1739,585,1110,432,9319,17
1610612756,Phoenix,Suns,2023-24,54,32,22,0.593,5,2,0,0,15.0,5,N/A,2312,4630,0.499,644,1697,0.379,1084,1339,0.81,527,1797,2324,1445,997,401,795,323,6352,8
1610612757,Portland,Trail Blazers,2022-23,82,33,49,0.402,13,5,0,0,15.0,5,N/A,3317,7001,0.474,1056,2893,0.365,1609,2021,0.796,774,2551,3325,1981,1643,553,1185,376,9299,19
1610612757,Portland,Trail Blazers,2023-24,53,15,38,0.283,14,5,0,0,15.0,5,N/A,2088,4737,0.441,629,1775,0.354,929,1163,0.799,631,1568,2199,1205,1084,410,791,241,5734,30
1610612758,Sacramento,Kings,2022-23,82,48,34,0.585,3,1,3,4,15.0,5,N/A,3573,7232,0.494,1128,3060,0.369,1624,2055,0.79,782,2699,3481,2237,1616,574,1106,275,9898,1
1610612758,Sacramento,Kings,2023-24,53,30,23,0.566,8,3,0,0,15.0,5,N/A,2329,4819,0.483,789,2125,0.371,845,1156,0.731,544,1744,2288,1526,1071,382,714,209,6292,10
1610612759,San Antonio,Spurs,2022-23,82,22,60,0.268,15,5,0,0,15.0,5,N/A,3533,7593,0.465,911,2640,0.345,1292,1739,0.743,965,2619,3584,2232,1630,572,1253,322,9269,23
1610612759,San Antonio,Spurs,2023-24,54,11,43,0.204,15,5,0,0,15.0,5,N/A,2266,4912,0.461,670,1965,0.341,855,1091,0.784,548,1784,2332,1583,976,392,804,327,6057,20
1610612760,Oklahoma City,Thunder,2022-23,82,40,42,0.488,10,3,0,0,15.0,5,N/A,3533,7590,0.465,995,2797,0.356,1572,1944,0.809,934,2645,3579,2002,1722,676,1069,341,9633,5
1610612760,Oklahoma City,Thunder,2023-24,54,37,17,0.685,2,2,0,0,15.0,5,N/A,2405,4808,0.5,721,1835,0.393,993,1194,0.832,464,1753,2217,1472,1055,439,675,360,6524,4
1610612761,Toronto,Raptors,2022-23,82,41,41,0.5,9,5,0,0,15.0,5,N/A,3434,7489,0.459,880,2626,0.335,1506,1922,0.784,1043,2485,3528,1961,1641,772,956,424,9254,24
1610612761,Toronto,Raptors,2023-24,54,19,35,0.352,12,5,0,0,15.0,5,N/A,2304,4845,0.476,632,1771,0.357,898,1200,0.748,611,1730,2341,1574,995,411,726,261,6138,16
1610612762,Utah,Jazz,2022-23,82,37,45,0.451,12,4,0,0,15.0,5,N/A,3485,7365,0.473,1094,3099,0.353,1536,1955,0.786,968,2794,3762,2129,1679,500,1259,429,9600,7
1610612762,Utah,Jazz,2023-24,54,26,28,0.481,11,4,0,0,15.0,5,N/A,2306,4897,0.471,710,1986,0.358,1029,1254,0.821,689,1832,2521,1529,1037,361,857,325,6351,9
1610612763,Memphis,Grizzlies,2022-23,82,51,31,0.622,2,1,2,4,15.0,5,N/A,3585,7551,0.475,985,2807,0.351,1432,1954,0.733,988,2835,3823,2135,1643,680,1116,473,9587,9
1610612763,Memphis,Grizzlies,2023-24,54,18,36,0.333,13,4,0,0,15.0,5,N/A,2091,4767,0.439,740,2133,0.347,840,1097,0.766,537,1711,2248,1363,1061,417,792,331,5762,28
1610612764,Washington,Wizards,2022-23,82,35,47,0.427,12,3,0,0,15.0,5,N/A,3456,7127,0.485,925,2601,0.356,1442,1838,0.785,774,2804,3578,2083,1539,561,1158,424,9279,21
1610612764,Washington,Wizards,2023-24,53,9,44,0.17,14,5,0,0,15.0,5,N/A,2294,4838,0.474,635,1826,0.348,849,1107,0.767,483,1675,2158,1483,1068,412,731,290,6072,19
1610612765,Detroit,Pistons,2022-23,82,17,65,0.207,15,5,0,0,15.0,5,N/A,3244,7140,0.454,934,2659,0.351,1623,2106,0.771,916,2564,3480,1884,1813,574,1237,308,9045,29
1610612765,Detroit,Pistons,2023-24,53,8,45,0.151,15,5,0,0,15.0,5,N/A,2243,4737,0.474,593,1640,0.362,916,1174,0.78,593,1719,2312,1404,1157,311,816,257,5995,25
1610612766,Charlotte,Hornets,2022-23,82,27,55,0.329,14,5,0,0,15.0,5,N/A,3385,7413,0.457,881,2669,0.33,1447,1933,0.749,901,2751,3652,2062,1661,634,1164,425,9098,27
1610612766,Charlotte,Hornets,2023-24,53,12,41,0.226,13,4,0,0,15.0,5,N/A,2162,4701,0.46,632,1750,0.361,789,1006,0.784,534,1642,2176,1316,1012,345,731,251,5745,29
